Wall time,Step,Value
1642668684.5424535,23,4.693515777587891
1642668700.8664658,37,-99.42195892333984
1642668756.2579155,107,-62.312522888183594
1642668795.6607194,153,-83.27362060546875
1642668804.7722063,156,-101.65827941894531
1642668838.8375297,192,-96.77253723144531
1642668882.4035525,247,-68.113037109375
1642668936.03539,311,-88.00936889648438
1642669000.6128085,400,13.696788787841797
1642669020.3925707,420,-81.16654968261719
1642669042.62818,444,-73.1874008178711
1642669054.4611661,452,-89.97850799560547
1642669080.394361,477,-89.87850952148438
1642669134.3019025,545,-78.45592498779297
1642669177.164313,600,-46.73714065551758
1642669189.90774,609,-93.66339874267578
1642669206.7160923,623,-91.75900268554688
1642669223.0941453,637,-97.59451293945312
1642669281.0241225,716,-5.089440822601318
1642669301.493308,737,-80.82466125488281
1642669318.0243156,752,-84.48405456542969
1642669342.8985622,777,-81.22914123535156
1642669354.9337938,785,-101.51952362060547
1642669385.538099,822,-51.04091262817383
1642669419.5282125,866,-31.64325523376465
1642669433.7967553,876,-99.1885986328125
1642669445.8951194,884,-89.58821868896484
1642669461.2554247,898,-78.61827850341797
1642669500.113337,945,-57.9959831237793
1642669518.2703416,963,-87.32525634765625
1642669528.7343383,968,-100.0285415649414
1642669543.6288707,979,-100.71623229980469
1642669575.2296934,1015,-78.50274658203125
1642669605.8128743,1051,-68.80940246582031
1642669628.9400904,1075,-67.96001434326172
1642669643.485432,1089,-64.68952178955078
1642669653.6582162,1094,-95.57951354980469
1642669665.7203467,1101,-104.10406494140625
1642669692.5670676,1132,-67.49446105957031
1642669724.2707005,1172,-40.53376007080078
1642669754.116024,1208,-31.19951629638672
1642669797.2287824,1262,-34.87852478027344
1642669810.4462276,1273,-83.04700469970703
1642669820.1556094,1278,-93.96927642822266
1642669836.367984,1292,-99.59767150878906
1642669868.9578438,1330,-62.780460357666016
1642669928.9808533,1409,-8.253949165344238
1642669956.1432605,1442,-57.983123779296875
1642669967.66461,1450,-90.10421752929688
1642669995.153172,1481,-72.97610473632812
1642670006.2276447,1488,-96.30420684814453
1642670046.938832,1544,-13.127167701721191
1642670068.4887767,1566,-71.36991119384766
1642670077.472695,1569,-101.7298583984375
1642670094.4926622,1586,-72.58478546142578
1642670103.959324,1590,-98.21987915039062
1642670116.4433975,1598,-100.73048400878906
1642670128.68805,1606,-100.04689025878906
1642670149.685339,1630,-48.5726432800293
1642670161.7760248,1639,-88.39176177978516
1642670198.345166,1685,-47.20097351074219
1642670212.5942223,1699,-67.12870788574219
1642670232.7623541,1721,-61.014610290527344
1642670255.6722503,1748,-53.5543212890625
1642670270.2630105,1761,-77.8306655883789
1642670284.5225756,1773,-90.1100845336914
1642670292.9317896,1775,-103.55040740966797
1642670308.343633,1789,-84.41856384277344
1642670335.747114,1820,-50.58839797973633
1642670354.7713141,1840,-72.93864440917969
1642670388.7760777,1885,-34.655452728271484
1642670397.8598514,1889,-95.67715454101562
1642670414.4438057,1905,-69.70867919921875
1642670433.21761,1925,-62.7537727355957
1642670442.2641716,1928,-96.9120864868164
1642670462.0937192,1946,-98.59561920166016
1642670491.925464,1984,-35.514041900634766
1642670518.6765904,2018,-24.520320892333984
1642670574.0720127,2095,4.741909503936768
1642670584.537815,2100,-93.69131469726562
1642670608.7924764,2127,-62.61653137207031
1642670632.4266188,2155,-56.35892105102539
1642670643.6155717,2162,-99.2274169921875
1642670657.9152877,2175,-73.83491516113281
1642670677.9514046,2197,-56.10843276977539
1642670695.448771,2216,-59.71784973144531
1642670722.5600019,2249,-30.440519332885742
1642670742.8359187,2270,-83.77335357666016
1642670821.7983613,2389,109.09646606445312
1642670845.5546834,2416,-50.03104019165039
1642670884.6534638,2469,1.7335149049758911
1642670895.954903,2477,-91.03437805175781
1642670908.3051605,2487,-72.84623718261719
1642670924.2805545,2504,-65.67256927490234
1642670935.3745022,2511,-90.02916717529297
1642670945.1266162,2515,-99.69389343261719
1642670969.2186368,2542,-62.672096252441406
1642670978.5937104,2547,-89.8785629272461
1642670988.1499374,2551,-94.20020294189453
1642671000.017195,2560,-82.6980209350586
1642671065.3474057,2656,57.85087966918945
1642671123.529062,2740,65.541015625
1642671190.0082629,2836,50.706214904785156
