Wall time,Step,Value
1642632743.2182965,120,-26.79907989501953
1642632795.8943186,186,-87.724609375
1642632851.3615603,252,-86.58123016357422
1642632868.6352937,268,-84.63648223876953
1642632908.791524,312,-95.31147766113281
1642632934.5327852,332,-102.84386444091797
1642632951.392269,349,-101.71322631835938
1642633026.7975311,464,11.629496574401855
1642633052.6952612,496,-68.24650573730469
1642633066.0254383,508,-86.13899993896484
1642633094.612864,545,-61.718421936035156
1642633119.6855748,576,-74.82063293457031
1642633144.2982244,606,-75.96549224853516
1642633163.3194118,623,-97.20060729980469
1642633186.825325,652,-66.07307434082031
1642633199.8778281,662,-89.88752746582031
1642633255.7398324,734,-64.7942123413086
1642633314.3515465,810,-36.93962478637695
1642633340.2186484,842,-69.55690002441406
1642633485.0154102,1028,-106.91346740722656
1642633515.4940643,1069,-61.80561065673828
1642633537.8868618,1096,-76.5814437866211
1642633561.6415727,1124,-56.57481384277344
1642633587.9831498,1156,-80.14775848388672
1642633630.6837292,1206,-89.87322998046875
1642633700.4920857,1285,-82.00102233886719
1642633731.7848256,1326,-64.1379165649414
1642633762.0700278,1355,-83.40873718261719
1642633788.8644478,1390,-50.086483001708984
1642633809.0148294,1411,-99.63915252685547
1642633835.3150132,1444,-56.31599426269531
1642633859.981086,1462,-105.11027526855469
1642633941.197611,1567,-77.72986602783203
1642633974.9583585,1609,-30.940052032470703
1642634046.374475,1696,-73.44310760498047
1642634055.482759,1700,-99.94368743896484
1642634065.9408681,1707,-95.56504821777344
1642634110.1747093,1770,-9.958701133728027
1642634119.350909,1774,-99.04133605957031
1642634202.7711065,1883,-13.503032684326172
1642634217.9257522,1897,-92.68938446044922
1642634227.2230418,1902,-92.8388442993164
1642634257.9323063,1941,-48.65911865234375
1642634272.7344794,1955,-88.4238052368164
1642634298.2164989,1987,-66.98546600341797
1642634319.7232845,2013,-67.62480163574219
1642634350.0013998,2051,-76.7527084350586
1642634365.0384731,2067,-84.5048828125
1642634377.2076547,2077,-86.91547393798828
1642634408.7290292,2106,-85.7454605102539
1642634418.099736,2110,-99.1796646118164
1642634434.4734278,2127,-92.72774505615234
1642634450.9120018,2144,-70.98053741455078
1642634480.6421402,2175,-69.2329330444336
1642634534.1638255,2246,13.6611967086792
1642634548.101227,2259,-81.25446319580078
1642634606.114363,2340,-3.1801488399505615
1642634619.1855023,2351,-88.23916625976562
1642634658.0163543,2394,-93.37987518310547
1642634677.1875217,2416,-74.98604583740234
1642634691.9429667,2430,-79.31461334228516
1642634715.1548128,2459,-60.11906433105469
1642634727.8625774,2469,-97.63373565673828
1642634739.9864533,2478,-88.63331604003906
1642634775.398813,2516,-63.72894287109375
1642634789.8158808,2528,-84.06468963623047
1642634798.653816,2532,-99.65555572509766
1642634814.7320607,2549,-74.47083282470703
1642634894.750152,2627,-103.3474349975586
1642634913.7747505,2645,-98.58514404296875
1642634942.2229683,2672,-77.75198364257812
1642635002.1612244,2753,-13.34543514251709
1642635031.0397735,2795,-19.426136016845703
1642635045.855034,2807,-82.56889343261719
1642635088.6063669,2847,-92.7549819946289
1642635124.1870255,2896,-45.20744705200195
1642635190.496369,2977,-33.47069549560547
1642635246.8776548,3043,-44.567665100097656
1642635273.8705611,3066,-87.84004974365234
1642635289.1556182,3082,-80.28349304199219
1642635306.489201,3100,-74.53765106201172
1642635364.1798487,3153,-95.3273696899414
1642635374.3327014,3159,-93.23762512207031
1642635413.2208726,3217,-17.378097534179688
1642635436.1729689,3246,-61.73691177368164
1642635494.8187418,3318,-39.151371002197266
1642635511.1493285,3337,-65.64111328125
1642635564.4267538,3399,-62.92116165161133
1642635657.2032123,3531,-9.475678443908691
1642635668.4300544,3539,-94.23481750488281
1642635728.6062453,3623,-14.97459888458252
1642635752.9096563,3641,-87.34844970703125
1642635774.1641092,3666,-67.31159973144531
1642635784.8480778,3674,-84.65953826904297
1642635805.7104888,3700,-60.21344757080078
1642635832.9461603,3735,-70.91988372802734
1642635856.018063,3763,-57.378173828125
1642635886.9576163,3796,-55.75777053833008
1642635899.6652753,3808,-71.06892395019531
1642635914.2063124,3822,-84.71395111083984
1642635926.748959,3834,-73.91954803466797
1642635956.017967,3864,-44.36756896972656
1642635995.412923,3921,-17.59321403503418
1642636005.5584867,3927,-88.3830795288086
1642636030.316264,3948,-83.75296783447266
1642636041.1944795,3956,-89.1523208618164
1642636061.037459,3981,-49.92776870727539
1642636092.6800032,4014,-90.86907196044922
1642636117.8492787,4047,-36.48246383666992
1642636168.2455716,4115,-53.57543182373047
1642636180.4124427,4124,-90.27816772460938
1642636217.5810165,4168,-71.85881805419922
1642636241.2249403,4197,-52.058570861816406
1642636273.4463756,4245,-4.177614212036133
1642636327.4246008,4320,-55.38517761230469
1642636342.755139,4336,-69.34406280517578
1642636381.0872054,4368,-87.10075378417969
1642636399.211011,4389,-61.86415481567383
1642636444.3038018,4462,42.89118576049805
1642636496.3525238,4545,49.93421936035156
1642636530.6176686,4583,-77.6540298461914
1642636540.366703,4589,-89.88770294189453
1642636566.9432197,4615,-95.5036849975586
1642636598.5853932,4648,-83.00643157958984
1642636614.244806,4665,-69.88876342773438
1642636646.1113641,4709,-26.06751251220703
1642636659.386186,4721,-80.35774993896484
1642636690.715118,4756,-58.25077438354492
1642636701.5448635,4763,-95.25147247314453
1642636764.2040303,4843,6.178859233856201
1642636837.6017783,4925,-51.0537223815918
1642636876.77931,4948,-84.50830841064453
1642636922.0350418,4994,-53.104949951171875
1642636943.6353023,5023,-38.16297149658203
1642636962.8535612,5046,-54.35720443725586
1642636978.204923,5063,-61.11384201049805
1642636987.2839873,5068,-89.7428207397461
1642637023.3330488,5099,-93.67495727539062
1642637052.5820143,5139,-34.077972412109375
1642637086.7385364,5192,6.058684349060059
1642637100.3132932,5204,-82.31681823730469
1642637136.0405536,5234,-74.42235565185547
1642637149.765223,5247,-80.25259399414062
1642637169.5263195,5272,-44.50386428833008
1642637182.093764,5280,-101.43355560302734
1642637191.5535371,5286,-91.42861938476562
1642637203.4250867,5296,-78.92941284179688
1642637243.1072943,5342,-56.95022964477539
1642637251.9662633,5346,-99.30110931396484
1642637267.4952497,5363,-58.226356506347656
1642637287.1040356,5375,-92.9882583618164
1642637297.3179307,5381,-93.56874084472656
1642637314.0218072,5398,-64.71825408935547
1642637365.886305,5488,124.26448059082031
1642637394.78491,5528,-39.91624450683594
1642637410.2539852,5545,-68.50527954101562
1642637431.5860543,5573,-49.082679748535156
1642637464.1679285,5607,-45.428924560546875
1642637473.0859156,5611,-95.6041030883789
1642637522.7061028,5678,-86.52105712890625
1642637617.173838,5804,33.06634521484375
1642637655.0360374,5865,41.651126861572266
1642637708.7785344,5941,17.146015167236328
1642637744.5676901,5995,-13.039962768554688
1642637757.6543868,6008,-75.38667297363281
1642637771.4522007,6022,-68.11063385009766
1642637800.647219,6065,-6.849855899810791
1642637825.5406523,6101,-28.239044189453125
1642637880.9912724,6167,-70.22492980957031
1642637921.68154,6205,-80.74923706054688
1642637936.430763,6221,-70.09538269042969
1642637960.242541,6253,-43.33556365966797
1642637972.0697784,6264,-69.99649810791016
1642638009.9029953,6308,-77.86964416503906
1642638045.4435854,6349,-84.9004898071289
1642638099.658672,6425,14.156020164489746
1642638135.6347153,6466,-50.046653747558594
1642638178.4769652,6519,-42.48305892944336
1642638198.6496465,6546,-44.608665466308594
1642638232.5147612,6602,51.771915435791016
1642638249.4811034,6621,-77.05860900878906
1642638264.395467,6634,-80.28614807128906
1642638286.574226,6649,-96.72406768798828
1642638300.1718915,6662,-90.082275390625
1642638324.6867187,6684,-83.46910095214844
1642638336.5289865,6695,-66.65229034423828
1642638348.5370007,6705,-74.90272521972656
1642638396.680592,6771,19.568876266479492
1642638500.6875896,6901,-74.71092987060547
1642638546.665468,6961,-96.51082611083984
1642638570.6681876,6995,-33.335018157958984
1642638607.056851,7039,-40.193912506103516
1642638640.8256035,7095,37.974456787109375
1642638651.4468997,7103,-81.44473266601562
1642638661.514629,7108,-89.99063110351562
1642638685.4339793,7142,-22.6462345123291
1642638694.7609,7147,-92.24407196044922
1642638738.9933078,7219,61.67659378051758
1642638748.5649245,7224,-96.37627410888672
1642638769.9473262,7254,-17.536582946777344
1642638782.2881835,7266,-67.95563507080078
1642638861.5294068,7364,-70.81739044189453
1642638888.526597,7403,-15.058362007141113
1642638921.2825754,7436,-54.17045974731445
1642638964.7831218,7484,-80.74859619140625
1642639071.0157754,7639,-18.394338607788086
1642639100.7196715,7685,11.410534858703613
1642639117.4878194,7702,-87.78424072265625
1642639126.5085144,7707,-93.6386489868164
1642639162.5817068,7752,-70.23135375976562
1642639173.6608357,7760,-88.64991760253906
1642639188.9512618,7777,-65.73406982421875
1642639200.857547,7785,-89.613525390625
1642639210.8863273,7791,-94.25965118408203
1642639231.9214036,7820,-22.888328552246094
1642639265.1858513,7845,-86.68993377685547
1642639279.3565726,7859,-80.22891998291016
1642639305.1082156,7883,-86.91297149658203
1642639338.462133,7924,-33.12843704223633
1642639374.2462246,7969,-93.60122680664062
1642639433.8117347,8057,-55.50431823730469
1642639460.9344928,8083,-88.6469497680664
1642639487.2485456,8121,-5.261236667633057
1642639519.2087665,8172,35.335113525390625
1642639536.413165,8192,-67.5889892578125
1642639548.1182258,8203,-67.10615539550781
1642639559.875895,8212,-91.22268676757812
1642639590.188302,8255,-6.721768379211426
1642639602.7023435,8267,-74.69033813476562
1642639614.6227117,8278,-70.27931213378906
1642639636.3331003,8295,-83.45803833007812
1642639716.488636,8429,36.737003326416016
1642639728.3943744,8440,-70.68995666503906
1642639778.101563,8511,-47.504425048828125
1642639826.5500715,8584,24.728300094604492
1642639842.2519877,8601,-50.621177673339844
1642639857.9592192,8620,-45.87199401855469
1642639883.2194412,8659,2.008606433868408
1642639903.430456,8684,-41.60662841796875
1642639926.506228,8718,-11.565817832946777
1642639954.9922767,8760,-9.042206764221191
1642639974.8287818,8784,-47.52326965332031
1642639989.4676964,8800,-67.21550750732422
1642640003.8742971,8815,-71.20824432373047
1642640013.311304,8821,-87.04549407958984
1642640056.9570494,8880,-0.34583744406700134
1642640088.4691887,8931,39.881202697753906
1642640110.8462515,8947,-86.27806091308594
1642640153.0886877,9005,-95.69043731689453
1642640172.1081023,9031,-29.295921325683594
1642640200.6850164,9074,-17.847393035888672
1642640212.4180453,9085,-67.12380981445312
1642640226.3196557,9098,-69.12565612792969
1642640254.3855424,9130,-63.30598449707031
1642640269.5922368,9149,-37.161399841308594
1642640324.1355362,9232,-10.26137924194336
1642640341.6415474,9254,-41.50056076049805
1642640372.0780966,9303,43.3270378112793
1642640389.5062704,9323,-68.38044738769531
1642640411.657968,9356,-2.895045518875122
1642640434.1933146,9376,-86.9027099609375
1642640443.123714,9380,-95.64876556396484
1642640483.4822183,9451,95.24376678466797
1642640504.5525062,9480,-19.05399513244629
1642640589.1977925,9583,-67.7270278930664
1642640603.5878282,9599,-59.99367904663086
1642640708.2928753,9787,202.13140869140625
1642640735.8153243,9830,20.26369857788086
1642640753.444164,9851,-53.206504821777344
1642640790.5380597,9896,-47.78519058227539
1642640825.5962005,9955,61.746585845947266
1642640889.3813984,10056,103.00457763671875
1642640957.4096737,10165,0.8224790096282959
1642641087.3159482,10358,-71.26526641845703
1642641137.6024928,10449,138.07382202148438
1642641257.3515468,10655,416.1382141113281
1642641278.1827154,10681,-58.84523010253906
1642641315.5041633,10736,-3.957693576812744
1642641358.5851862,10810,74.75855255126953
1642641381.2126524,10840,-18.071640014648438
1642641416.0469303,10893,29.998760223388672
1642641443.3893151,10920,-69.6826171875
1642641538.773283,11080,76.75492095947266
1642641582.8911483,11145,17.600866317749023
1642641676.253908,11303,168.5075225830078
1642641771.8402724,11448,42.31293869018555
1642641808.0758443,11503,24.134695053100586
1642641906.9604666,11666,186.83523559570312
1642641951.4658563,11740,115.57371520996094
1642641993.0617325,11813,110.6019058227539
1642642007.4396062,11828,-71.4534912109375
1642642054.7518797,11898,-53.366600036621094
1642642069.6850731,11914,-56.93363571166992
1642642153.6193118,12043,-81.65338897705078
1642642173.5157802,12072,-13.15567684173584
1642642192.9388359,12083,-95.3531494140625
1642642280.3424025,12217,-57.306739807128906
1642642292.8534777,12229,-74.76293182373047
1642642332.2430816,12281,7.777065277099609
1642642356.5758436,12313,-28.235198974609375
1642642379.2488744,12344,-36.79005813598633
1642642391.2205977,12354,-79.53514099121094
1642642403.8462605,12366,-73.7586669921875
1642642434.6214218,12402,-47.680816650390625
1642642445.5306075,12411,-79.250732421875
1642642458.8557613,12424,-68.38597869873047
1642642483.2228477,12458,-0.4190342128276825
1642642517.734442,12515,52.608524322509766
1642642531.8237278,12529,-70.13362884521484
1642642548.040362,12548,-50.9191780090332
1642642582.8643904,12592,-4.6675639152526855
1642642649.3015733,12697,126.85952758789062
1642642667.1904342,12718,-70.00849151611328
1642642721.470381,12784,-89.44139099121094
1642642736.6890583,12802,-58.375335693359375
1642642791.881814,12856,-89.98182678222656
1642642855.6967027,12949,0.9529804587364197
1642642952.8066092,13122,304.5550231933594
1642643014.3064902,13214,16.879383087158203
1642643069.2367795,13310,110.08760070800781
1642643116.374719,13379,20.179487228393555
1642643156.9829116,13449,105.1577377319336
1642643204.3100495,13534,148.18563842773438
1642643268.151232,13619,15.954893112182617
1642643278.8666003,13627,-78.15078735351562
1642643347.8567722,13734,-0.004635661840438843
1642643511.5667408,14006,114.90266418457031
1642643627.9179473,14193,47.333587646484375
1642643690.5030887,14305,206.1732635498047
1642643729.1600504,14367,21.13759422302246
1642643765.3544762,14427,58.66908264160156
1642643797.4103498,14479,37.01063919067383
1642643825.157423,14518,-7.732391834259033
1642643862.9759014,14581,73.58644104003906
1642643951.0016303,14734,258.2334899902344
1642643969.530298,14759,-37.828617095947266
